dateid01,cn,e,g,i,klag,p,tx,w1,w2
1920-01-01,39.8,44.9,4.6,2.7,180.1,12.7,3.4,28.8,2.2
1921-01-01,41.9,45.6,6.6,-0.2,182.8,12.4,7.7,25.5,2.7
1922-01-01,45,50.1,6.1,1.9,182.6,16.9,3.9,29.3,2.9
1923-01-01,49.2,57.2,5.7,5.2,184.5,18.4,4.7,34.1,2.9
1924-01-01,50.6,57.1,6.6,3,189.7,19.4,3.8,33.9,3.1
1925-01-01,52.6,61,6.5,5.1,192.7,20.1,5.5,35.4,3.2
1926-01-01,55.1,64,6.6,5.6,197.8,19.6,7,37.4,3.3
1927-01-01,56.2,64.4,7.6,4.2,203.4,19.8,6.7,37.9,3.6
1928-01-01,57.3,64.5,7.9,3,207.6,21.1,4.2,39.2,3.7
1929-01-01,57.8,67,8.1,5.1,210.6,21.7,4,41.3,4
1930-01-01,55,61.2,9.4,1,215.7,15.6,7.7,37.9,4.2
1931-01-01,50.9,53.4,10.7,-3.4,216.7,11.4,7.5,34.5,4.8
1932-01-01,45.6,44.3,10.2,-6.2,213.3,7,8.3,29,5.3
1933-01-01,46.5,45.1,9.3,-5.1,207.1,11.2,5.4,28.5,5.6
1934-01-01,48.7,49.7,10,-3,202,12.3,6.8,30.6,6
1935-01-01,51.3,54.4,10.5,-1.3,199,14,7.2,33.2,6.1
1936-01-01,57.7,62.7,10.3,2.1,197.7,17.6,8.3,36.8,7.4
1937-01-01,58.7,65,11,2,199.8,17.3,6.7,41,6.7
1938-01-01,57.5,60.9,13,-1.9,201.8,15.3,7.4,38.2,7.7
1939-01-01,61.6,69.5,14.4,1.3,199.9,19,8.9,41.6,7.8
1940-01-01,65,75.7,15.4,3.3,201.2,21.1,9.6,45,8
1941-01-01,69.7,88.4,22.3,4.9,204.5,23.5,11.6,53.3,8.5
